variant,seed,episode,episode_reward,episode_length,transition_direction,final_hold,balanced_hold,episode_success,peak_target_score,termination_reason,capture_drop_penalty,cart_limit_step_penalty,safety_penalty,action_abs_mean,replay_size,replay_saturation_fraction,replay_capture_fraction,replay_near_capture_fraction,replay_non_crash_transitions
capture_only,2,1,-75.26056428308405,200,capture_vertical,0.0,0.0,0.0,0.9999860596672694,max_steps,-0.5,0.0,-3.440844587637867e-05,0.07917086533930788,400,0.0,1.0,0.935,400
capture_only,2,2,-393.3890811010076,200,capture_vertical,0.0,0.0,0.0,0.9999994132294332,max_steps,-0.5,-0.775,-1.503739693748054,0.2800706130249953,600,0.06833333333333333,1.0,0.7366666666666667,600
capture_only,2,3,-749.9137229637637,200,capture_vertical,0.0,0.0,0.0,0.9999880509362236,max_steps,-0.5,-1.75,-3.2510883682792167,0.45595245671393564,800,0.20125,1.0,0.59875,800
capture_only,2,4,-109.99717639417342,200,capture_vertical,0.0,0.0,0.0,0.9999952867483267,max_steps,-0.5,0.0,-0.05734590892170708,0.21205426063725777,1000,0.176,1.0,0.51,1000
capture_only,2,5,-731.6467432804532,200,capture_vertical,0.0,0.0,0.0,0.9999767610553824,max_steps,-0.5,-1.7,-3.161708861659177,0.4490558105209358,1200,0.23333333333333334,1.0,0.4575,1200
capture_only,2,6,-754.8345926808113,200,capture_vertical,0.0,0.0,0.0,0.9999997662574396,max_steps,-0.5,-1.775,-3.2762836410200338,0.4507712068694275,1400,0.28214285714285714,1.0,0.4164285714285714,1400
capture_only,2,7,-77.21744227769233,200,capture_vertical,0.0,0.0,0.0,0.9999968054354126,max_steps,-0.5,0.0,-2.840570683215386e-05,0.08094240551495861,1600,0.246875,1.0,0.465625,1600
capture_only,2,8,135.4508662647891,200,capture_vertical,1.0,1.0,1.0,0.9999998684282503,max_steps,0.0,0.0,-4.497498557287074e-06,0.09622150572522982,1800,0.21944444444444444,1.0,0.525,1800
capture_only,2,9,-72.03718441138204,200,capture_vertical,0.1,0.1,0.0,0.9984167598592482,max_steps,-0.5,0.0,-0.00045129314745224623,0.13133131985514535,2000,0.2025,1.0,0.5635,2000
capture_only,2,10,-167.05443142861955,200,capture_vertical,0.0,0.0,0.0,0.9999898701554889,max_steps,-0.5,0.0,-0.3471090517303914,0.17335774899505865,2200,0.19090909090909092,1.0,0.53,2200
capture_only,2,11,-157.79880553852928,200,capture_vertical,0.0,0.0,0.0,0.9998745649938768,max_steps,-0.5,0.0,-0.31000721072055515,0.19806408373472478,2400,0.18125,1.0,0.50625,2400
capture_only,2,12,-114.64293705866812,200,capture_vertical,0.0,0.0,0.0,0.998273395962887,max_steps,-0.5,0.0,-0.10504957812622498,0.1661616100197056,2600,0.1726923076923077,1.0,0.48846153846153845,2600
capture_only,2,13,-151.76421207833675,200,capture_vertical,0.0,0.0,0.0,0.9996682036485812,max_steps,-0.5,0.0,-0.2669427067363644,0.19168222842446775,2800,0.16642857142857143,1.0,0.46785714285714286,2800
capture_only,2,14,-168.99218367382616,200,capture_vertical,0.0,0.0,0.0,0.9999964453715631,max_steps,-0.5,-0.05,-0.35266023775683736,0.22043257137591885,3000,0.16333333333333333,1.0,0.448,3000
capture_only,2,15,-287.71822721947194,200,capture_vertical,0.0,0.0,0.0,0.9999978800562468,max_steps,-0.5,-0.35,-0.943684079391814,0.2546325271901298,3200,0.1665625,1.0,0.4284375,3200
capture_only,2,16,-239.54165452306265,200,capture_vertical,0.0,0.0,0.0,0.9999859722038041,max_steps,-0.5,-0.175,-0.7009589656469412,0.2298238231182414,3400,0.1638235294117647,1.0,0.4102941176470588,3400
capture_only,2,17,-305.1367756253949,200,capture_vertical,0.0,0.0,0.0,0.9999858904175613,max_steps,-0.5,-0.375,-1.0331910776568503,0.24999868367062766,3600,0.16361111111111112,1.0,0.3975,3600
capture_only,2,18,-226.42824009082642,200,capture_vertical,0.0,0.0,0.0,0.9986699023677151,max_steps,-0.5,-0.1,-0.6344097711956226,0.2717622719045216,3800,0.16605263157894737,1.0,0.3815789473684211,3800
capture_only,2,19,-178.643394003213,200,capture_vertical,0.0,0.0,0.0,0.9999993135613332,max_steps,-0.5,0.0,-0.399528988769,0.23878625324225383,4000,0.1645,1.0,0.37025,4000
capture_only,2,20,-203.43975349336725,200,capture_vertical,0.0,0.0,0.0,0.9999908346198869,max_steps,-0.5,-0.15,-0.5259722192500245,0.265186950512134,4200,0.16404761904761905,1.0,0.36142857142857143,4200
capture_only,2,21,-152.7897275208923,200,capture_vertical,0.0,0.0,0.0,0.9996532091009155,max_steps,-0.5,0.0,-0.2793626838267366,0.2047450596188421,4400,0.16068181818181818,1.0,0.3559090909090909,4400
capture_only,2,22,-210.24200741453427,200,capture_vertical,0.0,0.0,0.0,0.9999857890193168,max_steps,-0.5,-0.175,-0.5601388989280767,0.25575617932489403,4600,0.16260869565217392,1.0,0.34891304347826085,4600
capture_only,2,23,-137.93658723612657,200,capture_vertical,0.0,0.0,0.0,0.999748186790532,max_steps,-0.5,0.0,-0.207126496796222,0.20467214369569892,4800,0.16083333333333333,1.0,0.34458333333333335,4800
capture_only,2,24,-122.72596098747496,200,capture_vertical,0.0,0.0,0.0,0.9994246556197367,max_steps,-0.5,0.0,-0.13165375404436336,0.24906952187353099,5000,0.1608,1.0,0.3406,5000
capture_only,2,25,-95.5533395826961,200,capture_vertical,0.0,0.0,0.0,0.9999974258383699,max_steps,-0.5,0.0,-0.011555159263830644,0.3322368107167537,5200,0.16653846153846155,1.0,0.34307692307692306,5200
capture_only,2,26,-97.25872999990449,200,capture_vertical,0.0,0.0,0.0,0.9999749101683305,max_steps,-0.5,0.0,-0.012085689265697837,0.31895659411116595,5400,0.17074074074074075,1.0,0.3422222222222222,5400
capture_only,2,27,-86.39384436542284,200,capture_vertical,0.0,0.0,0.0,0.9999011797935746,max_steps,-0.5,0.0,-0.0007813257418829604,0.32549795585427915,5600,0.17339285714285715,1.0,0.35410714285714284,5600
capture_only,2,28,-85.35877371578695,200,capture_vertical,0.0,0.0,0.0,0.999473980427597,max_steps,-0.5,0.0,-0.00020927922804615546,0.3327190394478833,5800,0.17551724137931035,1.0,0.3653448275862069,5800
capture_only,2,29,-80.78832830020103,200,capture_vertical,0.0,0.0,0.0,0.999983012259295,max_steps,-0.5,0.0,-1.0082519304409883e-05,0.2907350252431478,6000,0.17466666666666666,1.0,0.38066666666666665,6000
capture_only,2,30,-84.96967230671028,200,capture_vertical,0.0,0.0,0.0,0.9999981866287102,max_steps,-0.5,0.0,-1.3928344532853262e-05,0.35410316180161794,6200,0.17725806451612902,1.0,0.39403225806451614,6200
capture_only,2,31,20.497864304247095,200,capture_vertical,0.125,0.125,0.0,0.9980182990898185,max_steps,0.0,0.0,-1.1168837545958657e-05,0.33789858952193713,6400,0.17984375,1.0,0.4128125,6400
