gain_index,kp_angle,kd_angle,kp_cart,kd_cart,seed,episodes,final_hold,success_rate,drop_rate,cart_hit_rate,action_saturation,max_abs_cart_x,angular_speed_near_target,brief_target_contact_rate,sustained_hold_rate,drop_after_contact_rate,mean_abs_action,reward_mean,episode_length_mean
149,4.0,0.05,0.1,0.1,4,3,0.5916666666666667,0.3333333333333333,0.0,0.0,0.0,0.08282088731530053,0.6872619316683565,1.0,1.0,0.0,0.03645359876209087,64.77148275990885,200.0
149,4.0,0.05,0.1,0.1,5,3,0.6583333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.05664664115263692,0.7179720722097472,1.0,1.0,0.3333333333333333,0.04389705793261104,30.172377746537475,200.0
149,4.0,0.05,0.1,0.1,6,3,0.06666666666666667,0.0,0.3333333333333333,0.0,0.0033333333333333335,0.14026197836899934,1.0277943011655322,1.0,1.0,0.3333333333333333,0.08030546174458782,-8.414515651009765,200.0
149,4.0,0.05,0.1,0.1,7,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.02333333333333333,0.13527661737884802,0.9115817521210808,1.0,1.0,0.3333333333333333,0.10636164654778553,25.567757661244837,200.0
149,4.0,0.05,0.1,0.1,8,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.024999999999999998,0.22709973082595217,0.8052086645275208,1.0,1.0,0.6666666666666666,0.05415592399913327,-6.4460908274647295,200.0
149,4.0,0.05,0.1,0.1,9,3,0.5833333333333334,0.3333333333333333,0.0,0.0,0.0,0.15881466429616123,0.7774568248139314,1.0,1.0,0.0,0.05423452072125099,63.36091936950902,200.0
150,4.0,0.05,0.2,0.02,0,3,0.0,0.0,1.0,0.0,0.455,0.7933610883434529,2.5392002254014834,1.0,0.6666666666666666,1.0,0.3145917533117185,-97.29997846976774,200.0
150,4.0,0.05,0.2,0.02,1,3,0.0,0.0,1.0,0.0,0.44333333333333336,0.5094486127585661,2.415697432508128,1.0,1.0,1.0,0.32540510776454196,-90.36928577811254,200.0
150,4.0,0.05,0.2,0.02,2,3,0.10833333333333334,0.0,0.6666666666666666,0.0,0.3183333333333333,0.3939928805037381,2.1287436458784357,1.0,1.0,0.6666666666666666,0.279455999700833,-53.201734403442096,200.0
150,4.0,0.05,0.2,0.02,3,3,0.024999999999999998,0.0,0.6666666666666666,0.0,0.19166666666666665,0.20549242349187744,1.6098997580345644,1.0,1.0,0.6666666666666666,0.1872751060950947,-48.013238348912694,200.0
